aspect,y_true,y_pred,text_preview
Overall Experience & Convenience,Positive,Neutral,Quiet coffee shop. Any quiet coffee shop near BTS On Nut for a meeting with client? Thank you
Facilities & Accessibility,Neutral,Positive,"Question about Amphawa Floating Market and Ayuttayah. Hello! I was planning on taking the busses from Victory monument to both of these locations during my stay in Bangkok, but I'v"
Overall Experience & Convenience,Neutral,Positive,Drinks tomorrow (Friday) anyone?. Hey everyone 24 yr old female just moved to Bangkok from los angeles. anyone up for drinks or hookah this friday? I live near On Nut BTS
Overall Experience & Convenience,Negative,Neutral,Air alert BTS On Nut. Hi. Does anyone know why the alarm siren is sounding at BTS On Nut?
Fare & Payment System,Neutral,Positive,Food markets near Wutthakat. Staying near Wutthakat BTS station for a month and looking for markets close by (preferably walkable) to buy fresh produce (fruits/veggies). Home Fresh
Fare & Payment System,Negative,Positive,"Looking for reasonably priced Lawn Mowing service. I'm looking for someone to cut my lawn and pull the weeds but have no idea where to look. I've used google to no avail, I suspect"
Facilities & Accessibility,Positive,Negative,Looking for Thai romantic comedies on Netflix where the protagonists aren't awful.. I'm learning Thai and I've recently found that I can understand Thai romantic comedies. The lang
Staff & Service Quality,Negative,Neutral,"How to pay for local bus and other transit?. Correct me if I'm wrong, but to pay for different transit options, my understanding is that: * BTS - has it's own card that you need to"
Fare & Payment System,Positive,Neutral,Bangkok. What is an ideal amount of cash to bring to Bangkok on a 5days 4 nights trip? And is traffic okay from Suvarnabhumi airport at 10pm? Heading to phaya Thai. Or should I jus
Staff & Service Quality,Neutral,Positive,"Looking for Thai language class for farangs. Any recommendations for Thai class for beginners? Preferably online, if on site accessible via BTS. Part time maybe weekend or night cl"
Fare & Payment System,Neutral,Positive,"Reliable Thai Language Schools. I'm planning on finding a Thai language school to really learn Thai and extend my visa for at least a year. I'm a complete beginner but ideally, I h"
Staff & Service Quality,Negative,Positive,Is this a scam?. Recently encountered 2 middle-eastern looking men with a similar modus operandi in Central Bangkok. The first approached me at Chitlom BTS as I was buying a ticket
Route Coverage & Connectivity,Negative,Positive,"Can I easily get a taxi from DMK airport on New Year’s Eve?. Hi, I’ll be arriving in Bangkok on New Year’s Eve at DMK Airport around 10 PM. I’m planning to stay at a hotel near Pha"
Punctuality & Reliability,Negative,Positive,Locations for photo booths in/close to Phaya Thai?. I need a physical photo for the immigration. Googling in English and translated Thai produced nothing. Help is appreciated.
Punctuality & Reliability,Neutral,Positive,"Thailand Changed Me. I visited Thailand a few weeks ago, and I've been contemplating writing about the experience ever since. I wanted to make sure my emotions had calmed down befo"
Facilities & Accessibility,Neutral,Positive,"What are your favourite places to eat and drink in Bang Na/Phra Khanong?. I'm near Udom Suk BTS. Street food, restaurants, bars, 7/11 - hit me with your favourite spots!"
Staff & Service Quality,Neutral,Positive,"Co-working space. Hey, I'm working as a remote developer and looking for a good co-working space in Bangkok. In last two days I checked out The Wolf and Launchpad. While first had "
Crowding & Comfort,Negative,Positive,Full Power Outage In Phra Khanong - no electricity around the block for the last 20 minutes or so. Anyone else facing this?. (Title only post)
Information & Navigation,Negative,Positive,"I need an educated opinion.. I just saw a post about the rain season from June through nov, after reading a few comments I decided to get more info relative to me. My stay is the w"
Fare & Payment System,Negative,Positive,"Approximate cost of taxi from Ekkamai BTS to DMK airport?. Hey guys, I have an early morning flight from DMK airport (6:30am) on June 12, so taxi is my only option. My accomodation"
Fare & Payment System,Negative,Positive,"Street scammer near Ekkamai BTS. Raising some awareness for possible scamer near Ekkamai BTS area. Arabic man with average weight, about 1,80m, long hair and short beard, wearing l"
Staff & Service Quality,Positive,Negative,My Story. Got Randomly Stopped. Tested Positive for MJ.. Throwaway account for obvious reasons... I've been in Thailand for 3 weeks now and haven't outstayed my welcome and have ge
Information & Navigation,Negative,Positive,"Renting at Life Sukhumvit 48. Hi all, so I made a post a few days ago about trying to find a condo to rent in Phra Khanong. Many people advised me to go to the juristic office of t"
Cleanliness & Hygiene,Negative,Positive,Smoke Smell in Phra khanong area (BKK).. Anyone in/near the Phra khanong smell smoke. It seems to be around the majority of the area. Can't seem to find the route cause of it. Thou
Overall Experience & Convenience,Positive,Neutral,"Car Wash Recommendation Near Phra Khanong?. Looking for a place that will hand wash, not a drive-thru with brushes. Any suggestions?"
Staff & Service Quality,Positive,Negative,Did anyone go through this: Guard didn’t allow us in the building where we booked an apartment. It did not say it was not an aparthotel. Airbnb and host refuses refund. What to do?
Overall Experience & Convenience,Positive,Negative,"Long pickup times on Bolt?. Just curious if anyone else is experiencing this. I could normally get a Bolt motorbike in under 5 minutes most of the time, but now the pickup times ar"
Route Coverage & Connectivity,Negative,Positive,Scooter parking at Phloen Chit BTS station and just parking period at BTS stations. Just moved to Bangkok and struggling with parking my scooter. The immediate issue is that I woul
Punctuality & Reliability,Positive,Negative,"Bathrooms in Mo Chit Bus Station. Took a bus from Bangkok to Korat yesterday. While waiting in the terminal, I felt some urgent stirrings in the lower abdomen. I was half expecting"
Crowding & Comfort,Neutral,Positive,"BKK to Khon Kaen by bus. Anyone can share personal experience of a comfortable bus ride to KK, especially daily services that leave in the morning from BKK. I took a random bus fro"
